S. No,First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,Promotional Platforms,Others ,Designation,Year of Graduation,City,CGPA,CGPA Category,Experience with python (Months),Python Experience Level,Family Income,Expected salary (Lac),Expected Salary Category,Leadership- skills
2155,Joe,joe@xyz.com,1,Product Design & Full Stack,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2023,Gorakhpur,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,17,10-20LPA,yes
2156,Joseph,joseph@xyz.com,1,Product Design & Full Stack,Attending,Adhiyamaan College Of Engineering,SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Hamirpur,7.8,7.1-8.0,3,Beginner,0-2 Lakh,11,10-20LPA,no 
2157,Mary,mary@xyz.com,1,Product Design & Full Stack,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2025,Deoria,8.7,8.1-9.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no 
2158,William,william@xyz.com,1,Product Design & Full Stack,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2023,Jhansi,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
2159,Darrell,darrell@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Kanpur,8,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
2160,Roger,roger@xyz.com,1,Product Design & Full Stack,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Lucknow,8.5,8.1-9.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
2161,Leona,leona@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Others,Others,College,Students,2025,Mathura,8.5,8.1-9.0,3,Beginner,0-2 Lakh,25,20-40LPA,no
2162,James,james@xyz.com,1,Product Design & Full Stack,Attending,Government Polytechnic Gandhinagar,Whatsapp,Whatsapp,,Students,2024,Mainpuri,9.1,9.1-10,5,Intermediate,0-2 Lakh,21,20-40LPA,yes
2163,Samuel,samuel@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Youtube | Whatsapp,Youtube ,,Students,2025,Haora,8.8,8.1-9.0,5,Intermediate,0-2 Lakh,19,10-20LPA,no
2164,Jason,jason@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Hugli,7.6,7.1-8.0,8,Expert,0-2 Lakh,17,10-20LPA,yes
2165,Armando,armando@xyz.com,1,Product Design & Full Stack,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Kolkata,6.5,6.0 - 7.0,3,Beginner,0-2 Lakh,18,10-20LPA,yes
2166,Micheal,micheal@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2025,Malda,8.7,8.1-9.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no 
2167,Misty,misty@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Palashi,9.1,9.1-10,8,Expert,0-2 Lakh,29,20-40LPA,no 
2168,Donna,donna@xyz.com,1,Product Design & Full Stack,Attending,St.Francis Institute Of Technology,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Santipur,9.2,9.1-10,8,Expert,0-2 Lakh,29,20-40LPA,yes
2169,Melissa,melissa@xyz.com,1,Product Design & Full Stack,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2026,Siliguri,7.3,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,yes
2170,Patrick,patrick@xyz.com,1,Product Design & Full Stack,Attending,Late G. N. Sapkal College Of Engineering,SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Silguri,7.6,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
2171,Derrick,derrick@xyz.com,1,Product Design & Full Stack,Attending,"Symbiosis Institute Of Technology, Pune",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Siuri,7.1,7.1-8.0,3,Beginner,0-2 Lakh,6,5-10 LPA,no
2172,George,george@xyz.com,1,Product Design & Full Stack,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Talmuk,9.2,9.1-10,3,Beginner,0-2 Lakh,7,5-10 LPA,yes
2173,Stephen,stephen@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Instagram | Friend/ Classmate,Instagram ,,Students,2023,Titagrah,9.3,9.1-10,6,Intermediate,0-2 Lakh,20,10-20LPA,no
2174,Bernice,bernice@xyz.com,1,Product Design & Full Stack,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Orchha,7.1,7.1-8.0,8,Expert,0-2 Lakh,6,5-10 LPA,no
2175,Miguel,miguel@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Sagar,7.5,7.1-8.0,6,Intermediate,0-2 Lakh,6,5-10 LPA,no
2176,Johnny,johnny@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Youtube | Cloud Counselage Website | SPOC/ College Professor,Youtube ,,Students,2024,Satna,7.3,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,no
2177,Matthew,matthew@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Vidisha,8.3,8.1-9.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,yes
2178,Thelma,thelma@xyz.com,1,Product Design & Full Stack,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2023,Akola,7.4,7.1-8.0,5,Intermediate,0-2 Lakh,5,5-10 LPA,no 
2179,Ellen,ellen@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Aurangabad,6.7,6.0 - 7.0,3,Beginner,0-2 Lakh,6,5-10 LPA,no 
2180,Kenneth,kenneth@xyz.com,1,Product Design & Full Stack,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2024,Bhsawal,9.7,9.1-10,8,Expert,0-2 Lakh,11,10-20LPA,yes
2181,Robert,robert@xyz.com,1,Product Design & Full Stack,Attending,New Horizon Institute Of Technology And Management ,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Bid,7.9,7.1-8.0,3,Beginner,0-2 Lakh,20,10-20LPA,no
2182,Richard,richard@xyz.com,1,Product Design & Full Stack,Attending,"Mit Academy Of Engineering ,Alandi",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Jalgaon,8.7,8.1-9.0,8,Expert,0-2 Lakh,9,5-10 LPA,yes
2183,Susan,susan@xyz.com,1,Product Design & Full Stack,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Kalyan,8.7,8.1-9.0,8,Expert,0-2 Lakh,5,5-10 LPA,no
2184,Robert,robert@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Navi Mumbai,6.8,6.0 - 7.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
2185,Kevin,kevin@xyz.com,1,Product Design & Full Stack,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2024,Mumbai,7.1,7.1-8.0,5,Intermediate,0-2 Lakh,13,10-20LPA,no
2186,Juan,juan@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2023,Nagpur,8.5,8.1-9.0,6,Intermediate,0-2 Lakh,15,10-20LPA,no
2187,Glenda,glenda@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2026,Nanded,9.1,9.1-10,5,Intermediate,0-2 Lakh,14,10-20LPA,yes
2188,Christy,christy@xyz.com,1,Product Design & Full Stack,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2025,Mahe,9.5,9.1-10,6,Intermediate,0-2 Lakh,21,20-40LPA,yes
2189,James,james@xyz.com,1,Product Design & Full Stack,Attending,Adhiyamaan College Of Engineering,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Patiala,6.7,6.0 - 7.0,6,Intermediate,0-2 Lakh,20,10-20LPA,no 
2190,Joseph,joseph@xyz.com,1,Product Design & Full Stack,Attending,Don Bosco College Of Engineering Fatorda Goa,Friend/ Classmate | SPOC/ College Professor,Friend/ Classmate ,,Students,2024,Sangrur,8.2,8.1-9.0,3,Beginner,0-2 Lakh,20,10-20LPA,yes
2191,Ronald,ronald@xyz.com,1,Product Design & Full Stack,Attending,Pillai College Of Engineering New Panvel,Whatsapp,Whatsapp,,Students,2023,Ajmer,6.5,6.0 - 7.0,5,Intermediate,0-2 Lakh,14,10-20LPA,yes
2192,Robert,robert@xyz.com,1,Product Design & Full Stack,Attending,St Xavier'S College ,Facebook,Facebook,,Students,2024,Amer,8.7,8.1-9.0,6,Intermediate,0-2 Lakh,16,10-20LPA,no
2193,Eddie,eddie@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Barmer,9.1,9.1-10,3,Beginner,0-2 Lakh,9,5-10 LPA,no
2194,Mary,mary@xyz.com,1,Product Design & Full Stack,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Bikaner,8.9,8.1-9.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
2195,Edward,edward@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2024,Jalor,7.3,7.1-8.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no
2196,Harry,harry@xyz.com,1,Product Design & Full Stack,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Jhalwar,8.6,8.1-9.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
2197,Mario,mario@xyz.com,1,Product Design & Full Stack,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2023,Jodhpur,9.2,9.1-10,6,Intermediate,0-2 Lakh,15,10-20LPA,no
2198,Rudy,rudy@xyz.com,1,Product Design & Full Stack,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Kota,7.8,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
2199,Anthony,anthony@xyz.com,1,Product Design & Full Stack,Attending,Don Bosco College Of Engineering Fatorda Goa,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Pali,7.9,7.1-8.0,6,Intermediate,0-2 Lakh,21,20-40LPA,no
2200,Herman,herman@xyz.com,1,Product Design & Full Stack,Attending,Pillai College Of Engineering New Panvel,Whatsapp,Whatsapp,,Students,2024,Sikar,9.9,9.1-10,3,Beginner,0-2 Lakh,5,5-10 LPA,yes
2201,Douglas,douglas@xyz.com,1,Product Design & Full Stack,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2024,Ahemdabad,8.1,8.1-9.0,5,Intermediate,0-2 Lakh,21,20-40LPA,yes
2202,Terry,terry@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",SPOC/ College Professor,SPOC/ College Professor,,Students,2026,Amreli,9.5,9.1-10,8,Expert,0-2 Lakh,23,20-40LPA,no 
2203,Terry,terry@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2023,Dwarka,9.8,9.1-10,5,Intermediate,0-2 Lakh,9,5-10 LPA,no 
2204,Margaret,margaret@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2025,Godhra,9.6,9.1-10,6,Intermediate,0-2 Lakh,28,20-40LPA,yes
2205,Theresa,theresa@xyz.com,1,Product Design & Full Stack,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2023,Jamnagar,9.6,9.1-10,3,Beginner,0-2 Lakh,5,5-10 LPA,yes
2206,Jeffery,jeffery@xyz.com,1,Product Design & Full Stack,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2024,Junagadh,6.2,6.0 - 7.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no
2207,Sean,sean@xyz.com,1,Product Design & Full Stack,Attending,Late G. N. Sapkal College Of Engineering,SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Kheda,9.1,9.1-10,5,Intermediate,0-2 Lakh,19,10-20LPA,no
2208,Linda,linda@xyz.com,1,Product Design & Full Stack,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2025,Morbi,7.2,7.1-8.0,3,Beginner,0-2 Lakh,18,10-20LPA,no
2209,Steven,steven@xyz.com,1,Product Design & Full Stack,Attending,"Mit Academy Of Engineering ,Alandi",Youtube | Instagram | Whatsapp,Youtube ,,Students,2026,Nadiad,9.5,9.1-10,8,Expert,0-2 Lakh,23,20-40LPA,yes
2210,Alan,alan@xyz.com,1,Product Design & Full Stack,Attending,A. C. Patil College Of Engineering,Whatsapp,Whatsapp,,Students,2023,Navsari,6.8,6.0 - 7.0,3,Beginner,0-2 Lakh,5,5-10 LPA,no
2211,James,james@xyz.com,1,Product Design & Full Stack,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2023,Okha,8.4,8.1-9.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,no
2212,Ronald,ronald@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2024,Rajkot,9.9,9.1-10,8,Expert,0-2 Lakh,19,10-20LPA,no
2213,Roosevelt,roosevelt@xyz.com,1,Product Design & Full Stack,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp,Whatsapp,,Students,2025,Surat,6.6,6.0 - 7.0,8,Expert,0-2 Lakh,9,5-10 LPA,no
2214,Richard,richard@xyz.com,1,Product Design & Full Stack,Attending,"Thakur Institute Of Management Studies, Career Development & Research - [Timscdr]",SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Valsad,6.7,6.0 - 7.0,6,Intermediate,0-2 Lakh,17,10-20LPA,no
2215,Chad,chad@xyz.com,1,Product Design & Full Stack,Attending,Lokmanya Tilak College Of Engineering Koparkhairane Navi Mumbai,Whatsapp,Whatsapp,,Students,2024,Ambala,7.6,7.1-8.0,6,Intermediate,0-2 Lakh,13,10-20LPA,yes
2216,Frederick,frederick@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Youtube | Friend/ Classmate,Youtube ,,Students,2023,Chandigarh,8.3,8.1-9.0,5,Intermediate,0-2 Lakh,11,10-20LPA,yes
2217,Sharon,sharon@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",SPOC/ College Professor,SPOC/ College Professor,,Students,2026,Faridabad,6.3,6.0 - 7.0,3,Beginner,0-2 Lakh,15,10-20LPA,no 
2218,Phyllis,phyllis@xyz.com,1,Product Design & Full Stack,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Kunrool,8.9,8.1-9.0,5,Intermediate,0-2 Lakh,19,10-20LPA,no 
2219,Brandon,brandon@xyz.com,1,Product Design & Full Stack,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2024,Tirupati,9.5,9.1-10,6,Intermediate,0-2 Lakh,18,10-20LPA,yes
2220,Kevin,kevin@xyz.com,1,Product Design & Full Stack,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2024,Vijaywada,8.5,8.1-9.0,8,Expert,0-2 Lakh,12,10-20LPA,yes
2221,Dorothy,dorothy@xyz.com,1,Product Design & Full Stack,Attending,Pillai College Of Engineering New Panvel,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Guwahati,8.8,8.1-9.0,3,Beginner,0-2 Lakh,8,5-10 LPA,no
2222,Rosa,rosa@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2023,Tezpur,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,7,5-10 LPA,yes
2223,Mark,mark@xyz.com,1,Product Design & Full Stack,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,Whatsapp,,Students,2024,Sivasagar,8.3,8.1-9.0,3,Beginner,0-2 Lakh,13,10-20LPA,no
2224,James,james@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2026,Burani,6.4,6.0 - 7.0,8,Expert,0-2 Lakh,19,10-20LPA,no
2225,Gilbert,gilbert@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2025,Chapra,7.7,7.1-8.0,8,Expert,0-2 Lakh,22,20-40LPA,no
2226,Christopher,christopher@xyz.com,1,Product Design & Full Stack,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2023,Darbhanga,9.9,9.1-10,8,Expert,0-2 Lakh,20,10-20LPA,no
2227,Andrea,andrea@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2025,Gaya,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,9,5-10 LPA,yes
2228,Jose,jose@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2024,Haijipur,7.9,7.1-8.0,8,Expert,0-2 Lakh,20,10-20LPA,yes
2229,William,william@xyz.com,1,Product Design & Full Stack,Attending,Government Polytechnic Gandhinagar,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Jamalpur,7.7,7.1-8.0,8,Expert,0-2 Lakh,15,10-20LPA,no 
2230,Marion,marion@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Kaithar,7.4,7.1-8.0,8,Expert,0-2 Lakh,17,10-20LPA,no 
2231,Maria,maria@xyz.com,1,Product Design & Full Stack,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2026,Motihari,9.2,9.1-10,8,Expert,0-2 Lakh,19,10-20LPA,yes
2232,Ray,ray@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",Whatsapp,Whatsapp,,Students,2023,Munger,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,13,10-20LPA,yes
2233,Robert,robert@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2025,Patna,8.7,8.1-9.0,6,Intermediate,0-2 Lakh,11,10-20LPA,no
2234,Kimberly,kimberly@xyz.com,1,Product Design & Full Stack,Attending,New Horizon Institute Of Technology And Management ,SPOC/ College Professor,SPOC/ College Professor,,Students,2025,Sasaram,6.9,6.0 - 7.0,5,Intermediate,0-2 Lakh,10,5-10 LPA,no
2235,Patrick,patrick@xyz.com,1,Product Design & Full Stack,Attending,"Symbiosis Institute Of Technology, Pune",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2023,Chandigarh,6.9,6.0 - 7.0,6,Intermediate,0-2 Lakh,10,5-10 LPA,no
2236,Ann,ann@xyz.com,1,Product Design & Full Stack,Attending,"Mit Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2023,Ambikapur,7.2,7.1-8.0,8,Expert,0-2 Lakh,15,10-20LPA,no
2237,Louise,louise@xyz.com,1,Product Design & Full Stack,Attending,Wilson College ,Whatsapp,Whatsapp,,Students,2025,Durg,6.5,6.0 - 7.0,8,Expert,0-2 Lakh,20,10-20LPA,no
2238,John,john@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2024,Raipur,7.5,7.1-8.0,5,Intermediate,0-2 Lakh,21,20-40LPA,no
2239,Herman,herman@xyz.com,1,Product Design & Full Stack,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2024,Daman,6.9,6.0 - 7.0,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
2240,George,george@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2025,Diu,7.6,7.1-8.0,3,Beginner,0-2 Lakh,9,5-10 LPA,yes
2241,John,john@xyz.com,1,Product Design & Full Stack,Attending,G H Raisoni Institut Of Engineering And Technology Pune,Whatsapp,Whatsapp,,Students,2023,Silvassa,6.5,6.0 - 7.0,8,Expert,0-2 Lakh,8,5-10 LPA,no 
2242,Peter,peter@xyz.com,1,Product Design & Full Stack,Attending,Government Polytechnic Gandhinagar,SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Delhi,7.3,7.1-8.0,3,Beginner,0-2 Lakh,7,5-10 LPA,no 
2243,Robert,robert@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2026,New Delhi,6.7,6.0 - 7.0,6,Intermediate,0-2 Lakh,21,20-40LPA,yes
2244,Alan,alan@xyz.com,1,Product Design & Full Stack,Attending,"Vishwakarma Institute Of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Panji,8.7,8.1-9.0,8,Expert,0-2 Lakh,5,5-10 LPA,yes
2245,Jay,jay@xyz.com,1,Product Design & Full Stack,Attending,"Kle Society'S College Of Bca, Rls Institute, Belagavi",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Madgaon,6.7,6.0 - 7.0,5,Intermediate,0-2 Lakh,16,10-20LPA,no
2246,Maxine,maxine@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp | SPOC/ College Professor,Whatsapp ,,Students,2025,Ahemdabad,9,8.1-9.0,8,Expert,0-2 Lakh,21,20-40LPA,no
2247,Roger,roger@xyz.com,1,Product Design & Full Stack,Attending,St.Francis Institute Of Technology,Whatsapp,Whatsapp,,Students,2025,Amreli,7.2,7.1-8.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
2248,Kenneth,kenneth@xyz.com,1,Product Design & Full Stack,Attending,New Horizon Institute Of Technology And Management ,Whatsapp,Whatsapp,,Students,2023,Dwarka,8.5,8.1-9.0,6,Intermediate,0-2 Lakh,7,5-10 LPA,yes
2249,Richard,richard@xyz.com,1,Product Design & Full Stack,Attending,Late G. N. Sapkal College Of Engineering,SPOC/ College Professor,SPOC/ College Professor,,Students,2024,Godhra,6.5,6.0 - 7.0,8,Expert,0-2 Lakh,20,10-20LPA,no
2250,Charles,charles@xyz.com,1,Product Design & Full Stack,Attending,"Symbiosis Institute Of Technology, Pune",Youtube | Whatsapp,Youtube ,,Students,2024,Jamnagar,6.6,6.0 - 7.0,3,Beginner,0-2 Lakh,9,5-10 LPA,no
2251,John,john@xyz.com,1,Product Design & Full Stack,Attending,"Mit Academy Of Engineering ,Alandi",SPOC/ College Professor,SPOC/ College Professor,,Students,2023,Junagadh,9.5,9.1-10,5,Intermediate,0-2 Lakh,13,10-20LPA,no
2252,Jean,jean@xyz.com,1,Product Design & Full Stack,Attending,Wilson College ,SPOC/ College Professor,SPOC/ College Professor,,Students,2026,Morbi,9.7,9.1-10,6,Intermediate,0-2 Lakh,17,10-20LPA,no
2253,William,william@xyz.com,1,Product Design & Full Stack,Attending,"Ld College Of Engineering, Ahmedabad, Gujarat ",Whatsapp | Email,Whatsapp ,,Students,2023,Nadiad,9.3,9.1-10,8,Expert,0-2 Lakh,19,10-20LPA,yes
2254,Terri,terri@xyz.com,1,Product Design & Full Stack,Attending,Dkte Society'S Textile And Engineering Institute Ichalkaranji,Whatsapp | Friend/ Classmate,Whatsapp ,,Students,2025,Navsari,9.1,9.1-10,5,Intermediate,0-2 Lakh,21,20-40LPA,yes
2255,Thomas,thomas@xyz.com,1,Product Design & Full Stack,Attending,"Priyadarshini College Of Engineering, Nagpur ",Whatsapp,Whatsapp,,Students,2024,Okha,7.6,7.1-8.0,5,Intermediate,0-2 Lakh,8,5-10 LPA,no 
2256,Donald,donald@xyz.com,1,Product Design & Full Stack,Attending,Chhattisgarh Swami Vivekananda Technical University Teaching Department Bhilai,Whatsapp,Whatsapp,,Students,2023,Surat,7.9,7.1-8.0,6,Intermediate,0-2 Lakh,8,5-10 LPA,yes
2257,Katherine,katherine@xyz.com,1,Product Design & Full Stack,Attending,Silicon Institute Of Technology,Whatsapp,Whatsapp,,Students,2023,Valsad,8.5,8.1-9.0,3,Beginner,0-2 Lakh,7,5-10 LPA,yes
2258,Johnnie,johnnie@xyz.com,1,Product Design & Full Stack,Attending,Adhiyamaan College Of Engineering,Whatsapp,Whatsapp,,Students,2026,Ambala,8.7,8.1-9.0,6,Intermediate,0-2 Lakh,25,20-40LPA,no
2259,Joyce,joyce@xyz.com,1,Product Design & Full Stack,Attending,Don Bosco College Of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2025,Chandigarh,8.3,8.1-9.0,8,Expert,0-2 Lakh,21,20-40LPA,no
2260,Monica,monica@xyz.com,1,Product Design & Full Stack,Attending,Pillai College Of Engineering New Panvel,Whatsapp | Friend/ Classmate,Whatsapp ,,Students,2025,Faridabad,9.4,9.1-10,6,Intermediate,0-2 Lakh,30,20-40LPA,no
2261,Anna,anna@xyz.com,1,Product Design & Full Stack,Attending,St Xavier'S College ,Whatsapp,Whatsapp,,Students,2024,Gurugram,8.6,8.1-9.0,6,Intermediate,0-2 Lakh,24,20-40LPA,yes
2262,Roger,roger@xyz.com,1,Product Design & Full Stack,Attending,"Vidyalankar Institute Of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2024,Hisar,8.5,8.1-9.0,8,Expert,0-2 Lakh,8,5-10 LPA,no
2263,Lucille,lucille@xyz.com,1,Product Design & Full Stack,Attending,Government Polytechnic Gandhinagar,Youtube,Youtube,,Students,2023,Jind,9.1,9.1-10,5,Intermediate,0-2 Lakh,19,10-20LPA,no
2264,Kathleen,kathleen@xyz.com,1,Product Design & Full Stack,Attending,"B. K. Birla College Of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2023,Kaithal,7.7,7.1-8.0,6,Intermediate,0-2 Lakh,21,20-40LPA,no
